country,year,cattle_in_tonnes
Denmark,2006,128650.0
Denmark,2007,129986.0
Denmark,2008,128800.0
Denmark,2009,127900.0
Denmark,2010,132500.0
Denmark,2011,134200.0
Denmark,2012,126700.0
Denmark,2013,128000.0
Denmark,2014,125759.0
Denmark,2015,120491.0
Denmark,2016,129340.0
Denmark,2017,124148.0
Denmark,2018,130200.0
Denmark,2019,125600.0
Denmark,2020,122430.0
Denmark,2021,123430.0
Estonia,1992,45362.0
Estonia,1993,42567.0
Estonia,1994,31035.0
Estonia,1995,25776.0
Estonia,1996,22114.0
Estonia,1997,18983.0
Estonia,1998,19300.0
Estonia,1999,21739.0
Estonia,2000,15383.0
Estonia,2001,14159.0
Estonia,2002,16508.0
Estonia,2003,13149.0
Estonia,2004,15242.0
Estonia,2005,13431.0
Estonia,2006,14829.0
Estonia,2007,15422.0
Estonia,2008,14277.0
Estonia,2009,14172.0
Estonia,2010,12926.0
Estonia,2011,12187.0
Estonia,2012,12275.0
Estonia,2013,11481.0
Estonia,2014,9800.0
Estonia,2015,12600.0
Estonia,2016,14800.0
Estonia,2017,11900.0
Estonia,2018,9760.0
Estonia,2019,9250.0
Estonia,2020,9580.0
Estonia,2021,9950.0
Finland,1990,118160.0
Finland,1991,121670.0
Finland,1992,117280.0
Finland,1993,106350.0
Finland,1994,107620.0
Finland,1995,96170.0
Finland,1996,96550.0
Finland,1997,99610.0
Finland,1998,93760.0
Finland,1999,90480.0
Finland,2000,91430.0
Finland,2001,89770.0
Finland,2002,90730.0
Finland,2003,95820.0
Finland,2004,93290.0
Finland,2005,86710.0
Finland,2006,87150.0
Finland,2007,88570.0
Finland,2008,81900.0
Finland,2009,82050.0
Finland,2010,83040.0
Finland,2011,83500.0
Finland,2012,81180.0
Finland,2013,81190.0
Finland,2014,83069.0
Finland,2015,86490.0
Finland,2016,86720.0
Finland,2017,86080.0
Finland,2018,87060.0
Finland,2019,87760.0
Finland,2020,87110.0
Finland,2021,86250.0
France,1990,1911747.0
France,1991,2026068.0
France,1992,1876800.0
France,1993,1703800.0
France,1994,1626800.0
France,1995,1683300.0
France,1996,1737000.0
France,1997,1720000.0
France,1998,1632000.0
France,1999,1609000.0
France,2000,1527600.0
France,2001,1561442.0
