country,date,averagetemperature,temperature_change
Austria,2012-11-01,3.844,2.512
Austria,2012-12-01,-2.392,0.448
Austria,2013-01-01,-2.405,1.974
Austria,2013-02-01,-3.0860000000000003,-0.65
Austria,2013-03-01,0.1290000000000002,-1.13
Austria,2013-04-01,7.713999999999999,1.973
Austria,2013-05-01,11.048,0.513
Austria,2013-06-01,14.997,0.967
Austria,2013-07-01,18.728,3.221
Austria,2013-08-01,17.316,2.454
Belgium,2000-01-01,3.285,1.596
Belgium,2000-02-01,5.566000000000002,3.076
Belgium,2000-03-01,6.9670000000000005,1.673
Belgium,2000-04-01,10.212,1.809
Belgium,2000-05-01,15.165,2.461
Belgium,2000-06-01,17.049,1.442
Belgium,2000-07-01,15.795,-1.242
Belgium,2000-08-01,18.39,1.462
Belgium,2000-09-01,16.155,1.383
Belgium,2000-10-01,11.21,0.961
Belgium,2000-11-01,7.452000000000001,1.832
Belgium,2000-12-01,5.164999999999999,2.391
Belgium,2001-01-01,2.904,1.311
Belgium,2001-02-01,4.551,2.074
Belgium,2001-03-01,6.470999999999999,1.102
Belgium,2001-04-01,8.325,-0.138
Belgium,2001-05-01,15.023,2.359
Belgium,2001-06-01,15.763,-0.081
Belgium,2001-07-01,19.016,1.821
Belgium,2001-08-01,19.316,2.261
Belgium,2001-09-01,13.281,-1.328
Belgium,2001-10-01,14.099,3.805
Belgium,2001-11-01,5.885,0.223
Belgium,2001-12-01,1.886,-0.763
Belgium,2002-01-01,3.444,1.671
Belgium,2002-02-01,6.9510000000000005,4.29
Belgium,2002-03-01,7.561,2.13
Belgium,2002-04-01,9.742,1.172
Belgium,2002-05-01,13.82,1.115
Belgium,2002-06-01,17.402,1.763
Belgium,2002-07-01,17.944000000000003,0.662
Belgium,2002-08-01,18.751,1.902
Belgium,2002-09-01,14.591,0.063
Belgium,2002-10-01,10.304,-0.043
Belgium,2002-11-01,8.083,2.576
Belgium,2002-12-01,3.836,1.271
Belgium,2003-01-01,1.795,0.306
Belgium,2003-02-01,1.927,-0.629
Belgium,2003-03-01,8.2,2.854
Belgium,2003-04-01,10.216,1.549
Belgium,2003-05-01,14.091,1.608
Belgium,2003-06-01,19.224,3.747
Belgium,2003-07-01,19.59,2.335
Belgium,2003-08-01,20.848000000000003,4.134
Belgium,2003-09-01,15.383,0.87
Belgium,2003-10-01,7.778,-2.253
Belgium,2003-11-01,7.756,2.271
Belgium,2003-12-01,3.635,0.982
Belgium,2004-01-01,2.874,1.206
Belgium,2004-02-01,4.476999999999999,1.932
Belgium,2004-03-01,6.071999999999999,0.605
Belgium,2004-04-01,10.502,1.923
Belgium,2004-05-01,12.675,-0.052
Belgium,2004-06-01,16.424,0.741
Belgium,2004-07-01,17.583,0.417
Belgium,2004-08-01,19.219,2.267
Belgium,2004-09-01,15.951,1.185
Belgium,2004-10-01,11.489,1.18
Belgium,2004-11-01,5.962999999999999,0.456
Belgium,2004-12-01,2.202,-0.325
Belgium,2005-01-01,4.135999999999999,2.465
Belgium,2005-02-01,1.729,-0.82
Belgium,2005-03-01,6.752999999999999,1.115
Belgium,2005-04-01,10.390999999999998,1.978
Belgium,2005-05-01,13.473,0.845
Belgium,2005-06-01,17.995,1.937
Belgium,2005-07-01,18.586,1.4
